comment_id,video_id,text,text_original,author_display_name,author_profile_image_url,author_channel_url,author_channel_id,like_count,published_at,updated_at,is_reply,parent_id,total_reply_count,is_valid,extracted_at,sentiment_polarity,sentiment_subjectivity,vader_compound,vader_positive,vader_negative,vader_neutral,sentiment_label,emotion_strength,is_subjective,sentiment_analyzed_at
UgwzriasqhNOmtcbb3B4AaABAg.AMN_aLM5Nu6AMNfUHB6LbQ,GfH4QL4VqJ0,Niiice!,Niiice!,@NostraDavid2,https://yt3.ggpht.com/ytc/AIdro_n0dSKmNoFi4KGUquViWspBZkAU_MxPQLj_-lMkjIgXEtQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@NostraDavid2,UCkyJNAlG_at0jgflXPP4aKA,0,2025-08-28T18:31:31Z,2025-08-28T18:31:31Z,True,UgwzriasqhNOmtcbb3B4AaABAg.AMN_aLM5Nu6AMNfUHB6LbQ,0,True,2025-10-02T18:36:47.735918,0.0,0.0,0.0,0.0,0.0,1.0,neutral,weak,False,2025-10-02T11:36:47.780511
UgyoNLCaRRftARpUAKF4AaABAg,GfH4QL4VqJ0,"Since a lot of the &quot;founding fathers&quot; are maybe lingering here today, I need to express a sincere thank you to all of you for your work. My python work has been putting bread on the table to provide for my family for 10 years now. I am so grateful towards all of you brilliant people that helped transform the world, but also the lives of ordinary folk like me. <br><br>From the bottom of my heart, thank you! 🙏","Since a lot of the ""founding fathers"" are maybe lingering here today, I need to express a sincere thank you to all of you for your work. My python work has been putting bread on the table to provide for my family for 10 years now. I am so grateful towards all of you brilliant people that helped transform the world, but also the lives of ordinary folk like me. 

From the bottom of my heart, thank you! 🙏",@EarendilMitsos,https://yt3.ggpht.com/52dkR_CtUO8Up8qhOn2vOj_2gtLDEd7NpY3oPaGGvORTIhieBLaQjImCJOoBo2QAvvPREGY-6g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@EarendilMitsos,UCLYhJymSOA_R-5GHYeufG7Q,1025,2025-08-28T16:44:24Z,2025-08-28T16:44:24Z,False,,11,True,2025-10-02T18:36:47.781379,0.3625,0.6666666666666666,0.9639,0.224,0.0,0.776,positive,strong,True,2025-10-02T11:36:47.782947
UgyoNLCaRRftARpUAKF4AaABAg.AMNUDkYl7djAMO1CY1cXLF,GfH4QL4VqJ0,My is JS and NodeJS,My is JS and NodeJS,@danielonyenwee2799,https://yt3.ggpht.com/ytc/AIdro_kvdYTsmQ4AOsjfERa4m-JCezVm-74i3d182tlK_H9-T1Y=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@danielonyenwee2799,UCubD1eHgY_-k4Mc5MzTn_cw,0,2025-08-28T21:50:05Z,2025-08-28T21:50:05Z,True,UgyoNLCaRRftARpUAKF4AaABAg.AMNUDkYl7djAMO1CY1cXLF,0,True,2025-10-02T18:36:47.783054,0.0,0.0,0.0,0.0,0.0,1.0,neutral,weak,False,2025-10-02T11:36:47.783261
UgyoNLCaRRftARpUAKF4AaABAg.AMNUDkYl7djAMTk7Spvolc,GfH4QL4VqJ0,"I&#39;m not a founding father, but from Guatemala I send you many blessings for your moving message.","I'm not a founding father, but from Guatemala I send you many blessings for your moving message.",@juangiron2003,https://yt3.ggpht.com/ytc/AIdro_n4EkWdn4GYxfgZIF5D4NKfAlukTqyRxz8vNQm4rmKB48U=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@juangiron2003,UCFR3XIMLcxIJo0scjlrjTGg,8,2025-08-31T03:07:32Z,2025-08-31T03:07:32Z,True,UgyoNLCaRRftARpUAKF4AaABAg.AMNUDkYl7djAMTk7Spvolc,0,True,2025-10-02T18:36:47.783495,0.5,0.5,0.6956,0.229,0.0,0.771,positive,strong,False,2025-10-02T11:36:47.784000
UgyoNLCaRRftARpUAKF4AaABAg.AMNUDkYl7djAMUDtFi4_zi,GfH4QL4VqJ0,​@@juangiron2003 Thank you for your kindness!,​@@juangiron2003 Thank you for your kindness!,@EarendilMitsos,https://yt3.ggpht.com/52dkR_CtUO8Up8qhOn2vOj_2gtLDEd7NpY3oPaGGvORTIhieBLaQjImCJOoBo2QAvvPREGY-6g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@EarendilMitsos,UCLYhJymSOA_R-5GHYeufG7Q,2,2025-08-31T07:36:21Z,2025-08-31T07:36:21Z,True,UgyoNLCaRRftARpUAKF4AaABAg.AMNUDkYl7djAMUDtFi4_zi,0,True,2025-10-02T18:36:47.784149,0.0,0.0,0.6996,0.592,0.0,0.408,positive,strong,False,2025-10-02T11:36:47.784421
UgyoNLCaRRftARpUAKF4AaABAg.AMNUDkYl7djAMUIYTYznYo,GfH4QL4VqJ0,I wish you and the family another 10+ of happiness and health,I wish you and the family another 10+ of happiness and health,@IJH-Music,https://yt3.ggpht.com/XbAh6ktMMhsUMigev62fsGiLu5cyHGHvmqZVFn87ala7UHDpvtoSn3Y3j05OanDfjYbrIQd7=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@IJH-Music,UChtv0M9tsEtp7rXIyV9LBQg,4,2025-08-31T08:17:04Z,2025-08-31T08:17:04Z,True,UgyoNLCaRRftARpUAKF4AaABAg.AMNUDkYl7djAMUIYTYznYo,0,True,2025-10-02T18:36:47.784595,0.7,0.2,0.743,0.387,0.0,0.613,positive,strong,False,2025-10-02T11:36:47.784948
UgyoNLCaRRftARpUAKF4AaABAg.AMNUDkYl7djAMWoiNh2uE-,GfH4QL4VqJ0,Clippy spotted good work soldier,Clippy spotted good work soldier,@WhizPill,https://yt3.ggpht.com/EIHwuDH-AOhyr_nis8KLUtuusmYXSdFC4TihP_sdi4xyYwJ2DK4m3BmZcEu6BVxRSR6LZwhoFA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@WhizPill,UC6puYVpIDOJmZne22A-3fPw,6,2025-09-01T07:45:23Z,2025-09-01T07:45:23Z,True,UgyoNLCaRRftARpUAKF4AaABAg.AMNUDkYl7djAMWoiNh2uE-,0,True,2025-10-02T18:36:47.785067,0.7,0.6000000000000001,0.4404,0.42,0.0,0.58,positive,strong,True,2025-10-02T11:36:47.785291
Ugw40WLfjSBa2_RGssB4AaABAg,GfH4QL4VqJ0,"Back row: Benjamin Peterson, Robin Friedrich, Travis Oliphant, Tim O&#39;Reilly<br>Middle row: Steven Pemberton, Drew Houston, Jessica McKellar, Armin Ronacher, Brett Cannon, Lisa Roach, Paul Everitt, Mariatta<br>Front row: Barry Warsaw, Sjoerd Mullender, Ken Manheimer, Lisa Guo, Bob Kahn, Lambert Meertens, Peter Wang","Back row: Benjamin Peterson, Robin Friedrich, Travis Oliphant, Tim O'Reilly
Middle row: Steven Pemberton, Drew Houston, Jessica McKellar, Armin Ronacher, Brett Cannon, Lisa Roach, Paul Everitt, Mariatta
Front row: Barry Warsaw, Sjoerd Mullender, Ken Manheimer, Lisa Guo, Bob Kahn, Lambert Meertens, Peter Wang",@guidovanrossum5739,https://yt3.ggpht.com/ytc/AIdro_mbj969reLfYFuU7YGiRV3hlA2lVX1qrIW3Rh9YZ67ExAnU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@guidovanrossum5739,UCOluo1UcSyazCvHImYaeYTQ,876,2025-08-27T22:12:06Z,2025-08-28T04:46:35Z,False,,44,True,2025-10-02T18:36:47.785874,0.0,0.0,-0.0258,0.0,0.026,0.974,neutral,weak,False,2025-10-02T11:36:47.786490
Ugw40WLfjSBa2_RGssB4AaABAg.AMLUvyxt6DYAMLto2iP-OF,GfH4QL4VqJ0,Missing one name?,Missing one name?,@annieliu-channel,https://yt3.ggpht.com/2zG6X0d3cZtdPk6X7FgF_yT0EaHWty3sB43KvcarNgVALEWScCHdurk3jDpWTkEYTZcaSFiv=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@annieliu-channel,UCdkgMvu1DayXDJ-kVvMxlFg,7,2025-08-28T01:58:13Z,2025-08-28T01:58:13Z,True,Ugw40WLfjSBa2_RGssB4AaABAg.AMLUvyxt6DYAMLto2iP-OF,0,True,2025-10-02T18:36:47.786587,-0.2,0.05,-0.296,0.0,0.524,0.476,negative,weak,False,2025-10-02T11:36:47.786793
Ugw40WLfjSBa2_RGssB4AaABAg.AMLUvyxt6DYAMM7bw2Rlkg,GfH4QL4VqJ0,"​​@@annieliu-channelKen Manheimer, next to Barry, behind/between Sjoered Mullender and Lisa Guo","​​@@annieliu-channelKen Manheimer, next to Barry, behind/between Sjoered Mullender and Lisa Guo",@BrettCannon,https://yt3.ggpht.com/ytc/AIdro_lRIw5nPoySOOL03BAW60rSusPOl-Q3oZYNK6mFC7hbkQg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@BrettCannon,UCPpp4fdO4QydfZ1p_MnfBNw,0,2025-08-28T04:07:38Z,2025-08-28T04:07:57Z,True,Ugw40WLfjSBa2_RGssB4AaABAg.AMLUvyxt6DYAMM7bw2Rlkg,0,True,2025-10-02T18:36:47.787020,0.0,0.0,0.0,0.0,0.0,1.0,neutral,weak,False,2025-10-02T11:36:47.787301
