comment_id,video_id,text,text_original,author_display_name,author_profile_image_url,author_channel_url,author_channel_id,like_count,published_at,updated_at,is_reply,parent_id,total_reply_count,is_valid,extracted_at
UgzG-Qwv9LGnHTPpmph4AaABAg,edNysXAk1m4,So beautiful how he talks about his brother and how he helped him.,So beautiful how he talks about his brother and how he helped him.,@flowsystemsdotpro,https://yt3.ggpht.com/m9iJcU1C0GTSvbgxq7fHXUMmH_vGomKnhfCjqIvl2an8cTde27_yUu8mcOzJ8CFQlp2IZ8xAyzo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@flowsystemsdotpro,UCzu-cUHLYodGowE5eVJfSnQ,2,2025-10-02T09:31:50Z,2025-10-02T09:32:03Z,False,,0,True,2025-10-02T18:09:58.099330
Ugy9CEqdB8tmFDL71px4AaABAg,edNysXAk1m4,I called my brother.. <br>I called my brother...<br><br>A Legend,"I called my brother.. 
I called my brother...

A Legend",@iamlasbrey6334,https://yt3.ggpht.com/ytc/AIdro_lr2I2kNvHgBoO_wZwk_V384BT4Iw0TlrMMZQBwOqs6rw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@iamlasbrey6334,UCJ-FLW01N9kN3jXGM3_1q5Q,4,2025-10-02T13:18:27Z,2025-10-02T13:18:27Z,False,,0,True,2025-10-02T18:09:58.099510
UgyiiVAH6dT3ZmPilyF4AaABAg,edNysXAk1m4,Thank you for your time and sincere sharing of VK journey and attitude towards hiring people.😊,Thank you for your time and sincere sharing of VK journey and attitude towards hiring people.😊,@JohnMike-r4y,https://yt3.ggpht.com/Pnx8MznH-w6aS84jbqGf1Q2jETmrWKsEX-Z1YEzyu6pcSOixnN7ixFWOv1TKztCzPjxNqmJvc84=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@JohnMike-r4y,UCIzCS_j1Fqna-0QVaiHK0Gg,1,2025-10-02T07:31:38Z,2025-10-02T07:31:38Z,False,,0,True,2025-10-02T18:09:58.099766
Ugxpi7bGiEbJuN9MV6l4AaABAg,edNysXAk1m4,Mahn his brother is so cool.,Mahn his brother is so cool.,@master-ik9ro,https://yt3.ggpht.com/QpWBbLyWLFeEwArbLh1ad76w6pJJmd7J0ajEYKDTeiMqaJSzKH3irkAOSHIBB9b-tMK8ixBOmA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@master-ik9ro,UC5e_Itc-_O1ge0Q3ETgxqGA,0,2025-10-02T11:41:03Z,2025-10-02T11:41:03Z,False,,0,True,2025-10-02T18:09:58.099907
UgzS2f6i0S2L5BbLSYp4AaABAg,edNysXAk1m4,AMSR,AMSR,@johnjclawson,https://yt3.ggpht.com/ytc/AIdro_nuou6nizmJQnzBYAw4BkVyWLLyyh4sZzmE8LGiTadrhw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@johnjclawson,UCjBdzGNNcm0lolmdxnp9A0A,0,2025-10-02T17:27:54Z,2025-10-02T17:27:54Z,False,,0,True,2025-10-02T18:09:58.099952
UgyA8cRJOAcNH7Vcjvh4AaABAg,edNysXAk1m4,This is what I call time well spent.,This is what I call time well spent.,@ekimbangola,https://yt3.ggpht.com/QgtQAZ__KYCI0tWGbIDnBIsHnKW7nzceOuWbWCrvx2ZP-z7wjBiATsFMs5gtBwqfifBg5npiqA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ekimbangola,UC_xrqbZihTghjRaUdSgvPGg,0,2025-10-02T06:00:04Z,2025-10-02T06:00:04Z,False,,0,True,2025-10-02T18:09:58.100069
Ugw-kcKydQ0DqymUeIx4AaABAg,edNysXAk1m4,"i want more about CP , i am currently no experience , please tell me how i learn and deeply dive in CODING and program like a legend","i want more about CP , i am currently no experience , please tell me how i learn and deeply dive in CODING and program like a legend",@dipanjanmandal1771,https://yt3.ggpht.com/z-wCiT8zWBrmV4arrXkzQEWXPwumpipm-WNriL3_Cc2x4kYoRGa1XUbre5VGOryKjsY-pPJx=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@dipanjanmandal1771,UCUFptItLEWZ9EaU-iRAmnSw,2,2025-10-01T20:06:29Z,2025-10-01T20:06:29Z,False,,5,True,2025-10-02T18:09:58.100561
Ugw-kcKydQ0DqymUeIx4AaABAg.ANkONYrBbrIANkkBjxBT1-,edNysXAk1m4,You cant deep dive into something when you have no experience. <br>When you want to learn to code start small and build gradually from there. Start making a calculator. Then make more complex programs. <br>Whenever you solve a problem you can most likely solve it or something equivalent in the future. <br>So the more problems you solve the better you get.<br>If i would task you with building a simple calculator website with user input to calculate and additionally saving the results and user input in a database. <br>You wouldnt know where to start. <br>If you had already created a calculator app. You would now know what to do when you have the input. <br>Then you can solve the problem how to get the input. <br>After that you can solve the problem of storing the data. <br>When i task you the next time with making a login for users. <br>You would basically know how to get the input and how to store it. You would now „only“ need to figure out what to do now with user data.,"You cant deep dive into something when you have no experience. 
When you want to learn to code start small and build gradually from there. Start making a calculator. Then make more complex programs. 
Whenever you solve a problem you can most likely solve it or something equivalent in the future. 
So the more problems you solve the better you get.
If i would task you with building a simple calculator website with user input to calculate and additionally saving the results and user input in a database. 
You wouldnt know where to start. 
If you had already created a calculator app. You would now know what to do when you have the input. 
Then you can solve the problem how to get the input. 
After that you can solve the problem of storing the data. 
When i task you the next time with making a login for users. 
You would basically know how to get the input and how to store it. You would now „only“ need to figure out what to do now with user data.",@de-vu6ko,https://yt3.ggpht.com/ytc/AIdro_lOuHmWGDDt3jJWURp3T4zLPJK010souuCKq2V5C-w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@de-vu6ko,UC7VctLc8_GoOwPqS72v4Lfw,3,2025-10-01T23:25:51Z,2025-10-01T23:25:51Z,True,Ugw-kcKydQ0DqymUeIx4AaABAg.ANkONYrBbrIANkkBjxBT1-,0,True,2025-10-02T18:09:58.102923
Ugw-kcKydQ0DqymUeIx4AaABAg.ANkONYrBbrIANkpPxo5ZWK,edNysXAk1m4,Programming socks are a must,Programming socks are a must,@alst4817,https://yt3.ggpht.com/ytc/AIdro_kt89BGwY3w9Kxhsd6RrTZoEbbrpwpZucJvmzu3xBg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@alst4817,UC-9XPBRPxjIJY84tsPrNuJA,0,2025-10-02T00:11:29Z,2025-10-02T00:11:29Z,True,Ugw-kcKydQ0DqymUeIx4AaABAg.ANkONYrBbrIANkpPxo5ZWK,0,True,2025-10-02T18:09:58.103067
Ugw-kcKydQ0DqymUeIx4AaABAg.ANkONYrBbrIANkwqzp_5y4,edNysXAk1m4,"Youtube is a very good recource. Learn a simple language such as Python or Javascript to get started. Than master the language, learn all its ins and outs, which in my opinion is best acheived through personal projects, as they will direct your learning. Personally I began with Java than learned C, C++ and am only now learning Python.","Youtube is a very good recource. Learn a simple language such as Python or Javascript to get started. Than master the language, learn all its ins and outs, which in my opinion is best acheived through personal projects, as they will direct your learning. Personally I began with Java than learned C, C++ and am only now learning Python.",@masterdoughnut7257,https://yt3.ggpht.com/ytc/AIdro_nb5f7CstcnyC-OPFM5zIg4PObM5G1aZX4Ad6-6NIb3_M4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@masterdoughnut7257,UCyoWSGDdev3Grk3sWYC8FWQ,0,2025-10-02T01:16:28Z,2025-10-02T01:16:28Z,True,Ugw-kcKydQ0DqymUeIx4AaABAg.ANkONYrBbrIANkwqzp_5y4,0,True,2025-10-02T18:09:58.103783
